LC579371.1	Scopelarchus michaelsarsi
LC578937.1	Polymetme corythaeola
LC193322.1	Cyclothone atraria
LC091663.1	Cyclothone microdon
LC091653.1	Cyclothone microdon
LC021093.1	Scopelarchus michaelsarsi
KU511990.1	Flexiseps tsaratananensis
KU511989.1	Flexiseps ornaticeps
KU511988.1	Flexiseps johannae
KU511987.1	Flexiseps ardouini
KT828562.1	Paracontias mahamavo
KT828561.1	Paracontias mahamavo
KT828560.1	Paracontias ampijoroensis
KT828559.1	Paracontias ampijoroensis
KT828558.1	Paracontias vermisaurus
KM057110.1	Voeltzkowia yamagishii
KM057109.1	Voeltzkowia mobydick
KM057108.1	Voeltzkowia mira
KM057107.1	Grandidierina rubrocaudata
KM057106.1	Grandidierina rubrocaudata
KM057105.1	Grandidierina rubrocaudata
KM057104.1	Grandidierina rubrocaudata
KM057103.1	Grandidierina rubrocaudata
KM057102.1	Grandidierina rubrocaudata
KM057101.1	Grandidierina rubrocaudata
KM057100.1	Grandidierina rubrocaudata
KM057099.1	Grandidierina rubrocaudata
KM057098.1	Grandidierina petiti
KM057097.1	Grandidierina petiti
KM057096.1	Grandidierina petiti
KM057095.1	Grandidierina lineata
KM057094.1	Grandidierina lineata
KM057093.1	Grandidierina lineata
KM057092.1	Grandidierina lineata
KM057091.1	Grandidierina lineata
KM057090.1	Grandidierina lineata
KM057089.1	Grandidierina lineata
KM057088.1	Grandidierina lineata
KM057087.1	Grandidierina fierinensis
KM057086.1	Grandidierina fierinensis
KM057085.1	Grandidierina fierinensis
KM057084.1	Grandidierina fierinensis
KM057083.1	Grandidierina fierinensis
KM057082.1	Grandidierina fierinensis
KM057081.1	Grandidierina fierinensis
KM057080.1	Grandidierina fierinensis
KM057079.1	Grandidierina fierinensis
KM057078.1	Grandidierina fierinensis
KM057077.1	Pygomeles petteri
KC345377.1	Trachylepis tavaratra
KC345376.1	Trachylepis tavaratra
KC345375.1	Trachylepis vezo
KC345374.1	Trachylepis vezo
KC345373.1	Trachylepis vato
KC345372.1	Trachylepis dumasi
KC345371.1	Trachylepis dumasi
KC345370.1	Trachylepis vato
KC345369.1	Trachylepis dumasi
KC345368.1	Trachylepis aureopunctata
KC345367.1	Trachylepis gravenhorstii
KC345366.1	Trachylepis gravenhorstii
KC345365.1	Trachylepis gravenhorstii
KC345364.1	Eutropis macularia
KC345363.1	Trachylepis sechellensis
KC345362.1	Trachylepis sechellensis
KC345361.1	Trachylepis varia
KC345360.1	Trachylepis striata
KC345359.1	Trachylepis boettgeri
KC345358.1	Trachylepis maculilabris
KC345357.1	Trachylepis wrightii
KC345356.1	Trachylepis comorensis
KC345355.1	Trachylepis comorensis
KC345354.1	Trachylepis comorensis
KC345353.1	Trachylepis wahlbergii
KC345352.1	Trachylepis capensis
KC345351.1	Trachylepis varia
KC345350.1	Trachylepis wahlbergii
KC345349.1	Trachylepis boettgeri
KC345348.1	Trachylepis striata
KC345347.1	Trachylepis hoeschi
KC345346.1	Trachylepis wahlbergii
KC345345.1	Trachylepis binotata
KC345343.1	Trachylepis sulcata
KC345342.1	Trachylepis sulcata
KC345341.1	Trachylepis acutilabris
KC345340.1	Trachylepis acutilabris
KC345339.1	Trachylepis gravenhorstii
KC345338.1	Trachylepis madagascariensis
KC345337.1	Trachylepis elegans
KC345336.1	Trachylepis comorensis
KC345335.1	Trachylepis vato
KC345334.1	Trachylepis madagascariensis
KC345333.1	Trachylepis boettgeri
KC345332.1	Trachylepis gravenhorstii
KC345331.1	Trachylepis elegans
KC345330.1	Trachylepis gravenhorstii
KC345329.1	Trachylepis elegans
KC345328.1	Trachylepis nancycoutuae
KC345327.1	Trachylepis aureopunctata
KC345326.1	Trachylepis aureopunctata
KC345325.1	Trachylepis elegans
KC345324.1	Trachylepis gravenhorstii
KC345323.1	Trachylepis aureopunctata
KC345322.1	Trachylepis vato
KC345321.1	Trachylepis tandrefana
KC345320.1	Trachylepis tandrefana
KC345319.1	Trachylepis aureopunctata
JF424676.1	Amphiglossus reticulatus
JF424675.1	Amphiglossus reticulatus
JF424674.1	Flexiseps meva
JF424673.1	Flexiseps meva
JF424672.1	Amphiglossus astrolabi
JF424671.1	Amphiglossus astrolabi
JF424670.1	Amphiglossus astrolabi
FJ667620.1	Paracontias hildebrandti
FJ667619.1	Paracontias fasika
FJ667618.1	Paracontias rothschildi
FJ667616.1	Paracontias minimus
FJ667615.1	Pygomeles trivittatus
FJ667614.1	Flexiseps mandokava
FJ667613.1	Flexiseps melanurus
FJ667612.1	Brachyseps macrocercus
FJ667611.1	Flexiseps mandokava
FJ667610.1	Brachyseps frontoparietalis
FJ667609.1	Brachyseps anosyensis
PP178964.1	Riopa punctata
XM_062545180.1	Sardina pilchardus
XM_062540934.1	Sardina pilchardus
XM_062537805.1	Sardina pilchardus
XM_062536510.1	Sardina pilchardus
XM_062536207.1	Sardina pilchardus
XM_062533570.1	Sardina pilchardus
XM_062532425.1	Sardina pilchardus
XM_062529472.1	Sardina pilchardus
XM_062524450.1	Sardina pilchardus
XM_062524448.1	Sardina pilchardus
XM_062523310.1	Sardina pilchardus
XM_062518430.1	Sardina pilchardus
XM_062518402.1	Sardina pilchardus
XM_062518144.1	Sardina pilchardus
XM_062553387.1	Sardina pilchardus
XM_062552329.1	Sardina pilchardus
XM_062552328.1	Sardina pilchardus
XM_062551745.1	Sardina pilchardus
XM_062548144.1	Sardina pilchardus
XM_062548143.1	Sardina pilchardus
XM_062547598.1	Sardina pilchardus
XM_062547597.1	Sardina pilchardus
XM_062545152.1	Sardina pilchardus
XM_062545146.1	Sardina pilchardus
PP177483.1	Riopa punctata
PP177482.1	Riopa punctata
XM_062422679.1	Scomber scombrus
XM_062420574.1	Scomber scombrus
XM_062419605.1	Scomber scombrus
XM_062419359.1	Scomber scombrus
XM_062418624.1	Scomber scombrus
XM_062417616.1	Scomber scombrus
XM_062416073.1	Scomber scombrus
XM_062416072.1	Scomber scombrus
XM_062414531.1	Scomber scombrus
XM_062443739.1	Scomber scombrus
XM_062443351.1	Scomber scombrus
XM_062429144.1	Scomber scombrus
XM_062440468.1	Scomber scombrus
XM_062438138.1	Scomber scombrus
